BBLID,Session,Data_There
20303.0,12234.0,No
90217.0,12230.0,No
88608.0,12108.0,No
21874.0,12094.0,No
94288.0,12092.0,No
94703.0,12082.0,No
93757.0,12015.0,No
96902.0,11903.0,No
20792.0,11887.0,No
20325.0,11852.0,No
88760.0,11846.0,No
125073.0,11814.0,No
115783.0,11788.0,No
118864.0,11783.0,No
116354.0,11774.0,No
111720.0,11766.0,No
91422.0,11753.0,No
20642.0,11261.0,No
20645.0,11260.0,No
20543.0,11259.0,No
112126.0,11157.0,No
106057.0,11122.0,No
89095.0,11100.0,No
97994.0,11114.0,No
19981.0,11106.0,No
96659.0,11096.0,No
91962.0,11090.0,No
92211.0,10981.0,No
85743.0,10944.0,No
93292.0,10938.0,No
94276.0,10927.0,No
125511.0,10906.0,No
90281.0,10902.0,No
20011.0,10888.0,No
121085.0,10851.0,No
19970.0,10827.0,No
105979.0,10791.0,No
93274.0,10765.0,No
132179.0,10760.0,No
80557.0,10738.0,No
83835.0,10706.0,No
120217.0,10722.0,No
93734.0,10694.0,No
119791.0,10705.0,No
132641.0,10692.0,No
106880.0,10699.0,No
102041.0,10675.0,No
121407.0,10688.0,No
90077.0,10962.0,No
20082.0,11821.0,No
20754.0,12200.0,No
20871.0,11917.0,No
20902.0,12766.0,No
20903.0,12159.0,No
92089.0,12089.0,No
95257.0,12041.0,No
98370.0,12558.0,No
127065.0,12752.0,No
127935.0,12101.0,No
20916.0,12762.0,No
21118.0,12784.0,No
22744.0,12533.0,No
93242.0,12442.0,No
94378.0,11833.0,No
96465.0,12069.0,No
100522.0,12003.0,No
112807.0,11890.0,No
114738.0,11706.0,No
117847.0,12740.0,No
126176.0,12780.0,No
126532.0,12582.0,No
128079.0,11934.0,No
128259.0,12837.0,No
128865.0,12325.0,No
130438.0,11999.0,No
131384.0,12198.0,No
132869.0,12109.0,No
135085.0,11812.0,No
135277.0,12808.0,No
117397.0,10686.0,No
87646.0,10754.0,No
93242.0,11850.0,No
116019.0,11135.0,No
106057.0,11122.0,No
89095.0,11100.0,No
97994.0,11114.0,No
19981.0,11106.0,No
96659.0,11096.0,No
90281.0,11093.0,No
20180.0,11011.0,No
92211.0,10981.0,No
90077.0,10962.0,No
93292.0,10938.0,No
125511.0,10906.0,No
102041.0,10821.0,No
121085.0,10851.0,No
19790.0,10819.0,No
105979.0,10791.0,No
19830.0,10789.0,No
80557.0,10738.0,No
119791.0,10705.0,No
132641.0,10692.0,No
106880.0,10699.0,No
121407.0,10688.0,No
93734.0,10694.0,No
20645.0,11260.0,No
83835.0,10706.0,No
85743.0,10944.0,No
20642.0,11261.0,No
20011.0,10888.0,No
91919.0,10683.0,No
20543.0,11259.0,No
81725.0,11109.0,No
87225.0,10933.0,No
88608.0,10764.0,No
90877.0,10907.0,No
92155.0,11022.0,No
93274.0,10765.0,No
112126.0,11157.0,No
139272.0,10739.0,No
,,No
,,No
,,No
,,No
,,No
,,No
,,No
,,No
,,No
,,No
